TestName,RunIndex,WhichNeuronsStuck,OriginalAccuracy,StuckTrainAccuracy
Stuck-at-Zero-25%,1,"[7, 4]",95.31,96.88
Stuck-at-Zero-25%,2,"[2, 7]",95.31,92.19
Stuck-at-Zero-25%,3,"[2, 7]",95.31,87.5
Stuck-at-Zero-25%,4,"[3, 4]",95.31,84.38
Stuck-at-Zero-25%,5,"[0, 3]",95.31,96.88
Stuck-at-Zero-50%,1,"[2, 1, 5, 0]",96.88,75
Stuck-at-Zero-50%,2,"[0, 6, 2, 5]",96.88,53.12
Stuck-at-Zero-50%,3,"[4, 2, 0, 5]",96.88,78.12
Stuck-at-Zero-50%,4,"[7, 0, 2, 5]",96.88,67.19
Stuck-at-Zero-50%,5,"[2, 6, 7, 5]",96.88,84.38
Stuck-at-Zero-70%,1,"[0, 5, 3, 2, 7]",100,59.38
Stuck-at-Zero-70%,2,"[6, 3, 7, 2, 5]",100,68.75
Stuck-at-Zero-70%,3,"[2, 1, 4, 5, 0]",100,76.56
Stuck-at-Zero-70%,4,"[6, 0, 5, 2, 7]",100,53.12
Stuck-at-Zero-70%,5,"[3, 2, 0, 7, 4]",100,78.12
Stuck-at-Zero-90%,1,"[3, 2, 4, 5, 6, 7, 1]",96.88,48.44
Stuck-at-Zero-90%,2,"[6, 1, 3, 2, 4, 7, 0]",96.88,48.44
Stuck-at-Zero-90%,3,"[6, 5, 1, 7, 4, 0, 2]",96.88,48.44
Stuck-at-Zero-90%,4,"[3, 4, 7, 2, 6, 0, 5]",96.88,48.44
Stuck-at-Zero-90%,5,"[7, 1, 3, 4, 2, 5, 0]",96.88,39.06
,,,,
,,,,
,,,,
,,,,
,,,,
Stuck-at-Zero-100%,1,"[7, 0, 4, 2, 1, 5, 6, 3]",98.44,28.12
Stuck-at-Zero-100%,2,"[4, 6, 0, 5, 7, 1, 3, 2]",98.44,28.12
Stuck-at-Zero-100%,3,"[4, 3, 5, 2, 1, 6, 0, 7]",98.44,28.12
Stuck-at-Zero-100%,4,"[0, 2, 1, 3, 5, 4, 7, 6]",98.44,28.12
Stuck-at-Zero-100%,5,"[0, 7, 6, 4, 3, 2, 5, 1]",98.44,28.12
,,,,
,,,,
,,,,
Stuck-at-High-Random-25%,1,"[0, 3]",100,82.81
Stuck-at-High-Random-25%,2,"[1, 4]",100,98.44
Stuck-at-High-Random-25%,3,"[7, 4]",100,100
Stuck-at-High-Random-25%,4,"[5, 0]",100,98.44
Stuck-at-High-Random-25%,5,"[7, 6]",100,95.31
"Stuck-at-High-Specific-[2,5]",1,"[2, 5]",100,100
"Stuck-at-High-Specific-[2,5]",2,"[2, 5]",100,95.31
"Stuck-at-High-Specific-[2,5]",3,"[2, 5]",100,98.44
"Stuck-at-High-Specific-[2,5]",4,"[2, 5]",100,92.19
"Stuck-at-High-Specific-[2,5]",5,"[2, 5]",100,84.38
Stuck-at-High-Random-50%,1,"[5, 3, 2, 0]",96.88,93.75
Stuck-at-High-Random-50%,2,"[7, 3, 5, 1]",96.88,70.31
Stuck-at-High-Random-50%,3,"[3, 7, 4, 0]",96.88,87.5
Stuck-at-High-Random-50%,4,"[6, 0, 7, 3]",96.88,85.94
Stuck-at-High-Random-50%,5,"[5, 7, 1, 0]",96.88,68.75
Stuck-at-High-Random-75%,1,"[5, 2, 3, 4, 1, 0]",100,50
Stuck-at-High-Random-75%,2,"[4, 5, 1, 6, 0, 7]",100,68.75
Stuck-at-High-Random-75%,3,"[3, 5, 4, 1, 2, 7]",100,48.44
Stuck-at-High-Random-75%,4,"[1, 4, 0, 6, 2, 7]",100,68.75
Stuck-at-High-Random-75%,5,"[5, 0, 4, 3, 2, 7]",100,67.19
Stuck-at-High-Random-90%,1,"[3, 6, 0, 1, 2, 4, 7]",81.25,46.88
Stuck-at-High-Random-90%,2,"[6, 4, 5, 0, 1, 2, 3]",81.25,37.5
Stuck-at-High-Random-90%,3,"[2, 0, 7, 5, 3, 1, 4]",81.25,48.44
Stuck-at-High-Random-90%,4,"[0, 7, 5, 6, 1, 2, 4]",81.25,50
Stuck-at-High-Random-90%,5,"[7, 0, 6, 4, 2, 3, 5]",81.25,42.19
Stuck-at-High-Random-100%,1,"[7, 2, 6, 0, 5, 3, 1, 4]",100,28.12
Stuck-at-High-Random-100%,2,"[3, 5, 1, 7, 0, 4, 6, 2]",100,28.12
Stuck-at-High-Random-100%,3,"[4, 1, 7, 0, 2, 3, 6, 5]",100,28.12
Stuck-at-High-Random-100%,4,"[5, 7, 2, 1, 4, 0, 3, 6]",100,28.12
Stuck-at-High-Random-100%,5,"[0, 2, 4, 6, 5, 7, 3, 1]",100,28.12
TrainNoise-Hidden-0.01,1,None,96.88,96.88
TrainNoise-Hidden-0.01,2,None,96.88,96.88
TrainNoise-Hidden-0.01,3,None,96.88,84.38
TrainNoise-Hidden-0.01,4,None,96.88,89.06
TrainNoise-Hidden-0.01,5,None,96.88,85.94
EvalNoise-Hidden-0.01,1,None,96.88,96.88
EvalNoise-Hidden-0.01,2,None,96.88,96.88
EvalNoise-Hidden-0.01,3,None,96.88,96.88
EvalNoise-Hidden-0.01,4,None,96.88,96.88
EvalNoise-Hidden-0.01,5,None,96.88,96.88
TrainNoise-Hidden-0.05,1,None,100,90.62
TrainNoise-Hidden-0.05,2,None,100,100
TrainNoise-Hidden-0.05,3,None,100,78.12
TrainNoise-Hidden-0.05,4,None,100,90.62
TrainNoise-Hidden-0.05,5,None,100,93.75
EvalNoise-Hidden-0.05,1,None,100,100
EvalNoise-Hidden-0.05,2,None,100,100
EvalNoise-Hidden-0.05,3,None,100,100
EvalNoise-Hidden-0.05,4,None,100,100
EvalNoise-Hidden-0.05,5,None,100,100
TrainNoise-Hidden-0.1,1,None,98.44,100
TrainNoise-Hidden-0.1,2,None,98.44,98.44
TrainNoise-Hidden-0.1,3,None,98.44,95.31
TrainNoise-Hidden-0.1,4,None,98.44,100
TrainNoise-Hidden-0.1,5,None,98.44,87.5
EvalNoise-Hidden-0.1,1,None,98.44,96.88
EvalNoise-Hidden-0.1,2,None,98.44,96.88
EvalNoise-Hidden-0.1,3,None,98.44,98.44
EvalNoise-Hidden-0.1,4,None,98.44,98.44
EvalNoise-Hidden-0.1,5,None,98.44,96.88
TrainNoise-Hidden-0.2,1,None,100,76.56
TrainNoise-Hidden-0.2,2,None,100,98.44
TrainNoise-Hidden-0.2,3,None,100,92.19
TrainNoise-Hidden-0.2,4,None,100,95.31
TrainNoise-Hidden-0.2,5,None,100,92.19
EvalNoise-Hidden-0.2,1,None,100,95.31
EvalNoise-Hidden-0.2,2,None,100,100
EvalNoise-Hidden-0.2,3,None,100,96.88
EvalNoise-Hidden-0.2,4,None,100,93.75
EvalNoise-Hidden-0.2,5,None,100,96.88
ComboErr_Z0.1_H0.2_N0.3,1,RandomEachForward,96.88,67.19
ComboErr_Z0.1_H0.2_N0.3,2,RandomEachForward,96.88,73.44
ComboErr_Z0.1_H0.2_N0.3,3,RandomEachForward,96.88,73.44
ComboErr_Z0.1_H0.2_N0.3,4,RandomEachForward,96.88,70.31
ComboErr_Z0.1_H0.2_N0.3,5,RandomEachForward,96.88,60.94
